STATURE,BMI,MASS,HEAD_CIRC
1758,25.0,77.3,565
1814,28.9,95.1,596
1700,27.8,80.3,571
1633,23.7,63.3,564
1684,26.9,76.3,523
1823,25.0,83.1,569
1746,22.0,67.1,548
1746,25.2,76.9,564
1876,22.5,79.2,582
1820,22.1,73.3,583
1798,24.9,80.5,583
1762,27.0,83.9,561
1696,27.9,80.1,571
1643,24.4,65.8,549
1736,28.7,86.6,602
1755,25.5,78.5,563
1791,27.1,86.9,587
1700,28.9,83.4,572
1705,27.3,79.4,588
1752,22.3,68.5,560
1660,26.0,71.7,551
1666,30.4,84.4,569
1677,21.6,60.9,566
1652,25.1,68.6,539
1828,19.9,66.5,558
1862,25.8,89.4,570
1774,22.1,69.7,574
1714,26.8,78.7,571
1682,24.7,69.8,572
1653,26.2,71.7,580
1763,28.5,88.5,591
1715,27.2,79.9,552
1775,26.8,84.4,590
1741,28.3,85.8,558
1570,22.8,56.1,549
1784,26.8,85.3,574
1651,28.4,77.5,564
1728,28.0,83.6,578
1658,25.9,71.1,551
1638,24.8,66.5,553
1868,28.0,97.8,564
1772,22.2,69.8,555
1660,22.9,63.2,562
1643,21.6,58.3,550
1765,21.4,66.6,576
1750,25.8,79.0,578
1652,31.4,85.7,598
1798,25.3,81.9,574
1753,28.7,88.1,585
1870,26.6,93.2,605
1717,24.0,70.8,570
1779,21.0,66.6,560
1784,27.4,87.0,578
1672,27.1,75.7,568
1717,29.5,86.9,580
1768,27.5,86.0,576
1703,24.9,72.3,573
1744,24.9,75.8,569
1828,33.0,110.4,580
1885,28.3,100.7,574
1753,25.6,78.6,565
1706,23.0,66.9,547
1741,22.0,66.7,571
1632,27.1,72.2,572
1792,26.0,83.4,543
1837,24.9,84.1,562
1702,22.7,65.6,548
1782,25.4,80.7,575
1683,25.5,72.2,560
2012,21.3,86.2,574
1854,30.0,103.1,596
1760,28.0,86.6,566
1802,21.9,71.0,547
1744,29.5,89.7,553
1872,27.1,95.0,574
1697,29.7,85.4,575
1867,20.9,72.7,563
1718,24.9,73.5,577
1877,30.8,108.5,559
1704,30.1,87.3,566
1828,21.5,71.9,580
1750,27.2,83.3,588
1709,27.1,79.2,575
1694,23.8,68.2,539
1818,21.9,72.3,577
1787,23.5,75.0,581
1705,19.7,57.3,564
1678,26.9,75.6,570
1642,27.6,74.3,576
1634,23.3,62.2,554
1718,24.6,72.5,587
1754,24.4,75.2,567
1763,23.3,72.4,531
1790,24.2,77.6,587
1623,30.2,79.6,557
1935,27.3,102.3,608
1796,26.0,83.8,553
1806,29.4,96.0,583
1765,33.2,103.6,603
1765,23.4,72.8,572
1804,31.5,102.4,604
1825,26.9,89.6,573
1880,24.0,84.9,583
1673,19.1,53.3,554
1734,24.8,74.5,564
1718,25.7,75.9,569
1675,30.5,85.6,549
1778,28.6,90.4,582
1828,29.8,99.6,594
1756,24.1,74.3,569
1685,23.6,67.0,582
1730,29.0,86.8,558
1672,24.2,67.6,574
1749,25.1,76.9,595
1627,25.4,67.3,563
1781,32.4,102.7,587
1667,20.1,55.9,541
1762,29.2,90.5,582
1814,31.5,103.6,604
1742,29.2,88.6,617
1765,20.7,64.5,553
1892,23.2,83.1,581
1823,26.3,87.3,559
1723,27.5,81.6,571
1748,23.7,72.5,567
1696,20.4,58.8,556
1724,30.2,89.7,577
1715,18.8,55.2,529
1807,22.6,73.8,595
1705,22.4,65.2,548
1771,24.8,77.7,569
1725,27.5,81.9,545
1813,26.6,87.3,575
1656,22.6,62.0,554
1614,27.1,70.5,553
1817,24.7,81.5,567
1857,26.8,92.6,584
1742,21.2,64.4,545
1723,25.1,74.4,561
1687,28.9,82.4,561
1792,22.6,72.7,552
