STATURE,BMI,MASS,ACROMION_HT
1753,28.7,88.1,1421
1870,26.6,93.2,1549
1717,24,70.8,1392
1779,21,66.6,1449
1784,27.4,87,1471
1672,27.1,75.7,1380
1717,29.5,86.9,1424
1768,27.5,86,1425
1703,24.9,72.3,1387
1744,24.9,75.8,1451
1828,33,110.4,1537
1885,28.3,100.7,1564
1753,25.6,78.6,1452
1706,23,66.9,1428
1741,22,66.7,1417
1632,27.1,72.2,1348
1792,26,83.4,1496
1837,24.9,84.1,1510
1702,22.7,65.6,1388
1782,25.4,80.7,1457
1683,25.5,72.2,1374
2012,21.3,86.2,1691
1854,30,103.1,1534
1760,28,86.6,1445
1802,21.9,71,1505
1744,29.5,89.7,1417
1872,27.1,95,1549
1697,29.7,85.4,1390
1867,20.9,72.7,1517
1718,24.9,73.5,1415
1877,30.8,108.5,1520
1704,30.1,87.3,1422
1828,21.5,71.9,1512
1750,27.2,83.3,1438
1709,27.1,79.2,1410
1694,23.8,68.2,1408
1818,21.9,72.3,1497
1787,23.5,75,1486
1705,19.7,57.3,1394
1678,26.9,75.6,1378
1642,27.6,74.3,1334
1634,23.3,62.2,1333
1718,24.6,72.5,1410
1754,24.4,75.2,1425
1763,23.3,72.4,1458
1790,24.2,77.6,1472
1623,30.2,79.6,1370
1935,27.3,102.3,1602
1796,26,83.8,1489
1806,29.4,96,1487
1765,33.2,103.6,1438
1765,23.4,72.8,1457
1804,31.5,102.4,1511
1825,26.9,89.6,1500
1880,24,84.9,1579
1673,19.1,53.3,1395
1734,24.8,74.5,1418
1718,25.7,75.9,1393
1675,30.5,85.6,1361
1778,28.6,90.4,1458
1828,29.8,99.6,1508
1756,24.1,74.3,1442
1685,23.6,67,1339
1730,29,86.8,1417
1672,24.2,67.6,1357
1749,25.1,76.9,1422
1627,25.4,67.3,1311
1781,32.4,102.7,1471
1667,20.1,55.9,1377
1762,29.2,90.5,1458
1814,31.5,103.6,1488
1742,29.2,88.6,1439
1765,20.7,64.5,1467
1892,23.2,83.1,1576
1823,26.3,87.3,1513
1723,27.5,81.6,1417
1748,23.7,72.5,1440
1696,20.4,58.8,1398
1724,30.2,89.7,1438
1715,18.8,55.2,1421
1807,22.6,73.8,1480
1705,22.4,65.2,1395
1771,24.8,77.7,1485
1725,27.5,81.9,1393
1813,26.6,87.3,1510
1656,22.6,62,1344
1614,27.1,70.5,1304
1817,24.7,81.5,1484
1857,26.8,92.6,1522
1742,21.2,64.4,1457
1723,25.1,74.4,1398
1687,28.9,82.4,1400
1792,22.6,72.7,1488
1799,23.3,75.5,1475
